a/D,P/fcAg,?lfy/fc,?sfyh/ft,Failure
5.5,0.055,0.288,0.369,1
3.5,0.053,0.274,0.36,1
6.5,0.054,0.283,0.401,1
5.46,0.003,0.196,1.213,1
5.36,0.011,0.223,1.29,1
3.72,0.322,0.195,1.396,1
4,0.197,0.288,0.712,1
4,0.559,0.262,1.255,1
2,0.227,0.259,0.656,1
2,0.386,0.224,0.921,1
2,0.349,0.229,2.009,1
2,0.698,0.229,2.009,1
2.5,0.2,0.479,1.074,1
4,0.13,0.253,0.799,1
4,0.58,0.303,1.573,1
4,0.5,0.216,0.588,1
4,0.7,0.221,1.249,1
2,0.19,0.356,1.073,1
2,0.39,0.411,1.087,1
6.221,0.05,0.113,0.343,1
6.221,0.095,0.122,0.355,1
7.48,0.24,0.721,2.336,1
3.74,0.24,0.721,2.336,1
3.74,0.35,0.721,2.336,1
6,0.068,0.264,0.801,1
3,0.071,0.275,1.714,1
3.01,0.102,0.368,1.977,1
3.01,0.213,0.383,2.018,1
6.02,0.097,0.349,0.994,1
3.01,0.101,0.362,1.963,1
3.01,0.202,0.363,1.966,1
6.02,0.105,0.38,1.037,1
1.636,0,0.441,1.355,1
1.636,0.117,0.471,1.399,1
2.182,0.113,0.453,0.64,1
2.182,0.222,0.447,0.636,1
4.498,0.094,0.315,1.174,1
4.498,0.094,0.315,1.174,1
4.498,0.086,0.257,1.061,1
4.498,0.086,0.257,1.061,1
4.498,0.086,0.257,1.061,1
4.498,0.093,0.278,1.104,1
4.498,0.093,0.278,1.104,1
4.498,0.093,0.281,1.109,1
4.498,0.101,0.338,1.217,1
4.498,0.101,0.338,1.217,1
4.498,0.101,0.338,1.217,1
6,0.148,0.294,0.886,1
1.99,0.307,0.269,1.215,1
1.99,0.15,0.262,1.198,1
1.991,0.148,0.697,3.072,1
1.99,0.333,0.724,3.454,1
8,0.296,0.471,1.041,1
8,0.271,0.431,0.643,1
8,0.281,0.447,1.013,1
4,0.072,0.219,1.184,1
8,0.072,0.219,1.184,1
10,0.072,0.219,1.184,1
4,0.072,0.109,1.184,1
4,0.072,0.438,1.184,1
3,0.091,0.35,1.419,1
8,0.091,0.35,1.419,1
10,0.091,0.35,1.419,1
2.998,0.044,0.265,0.666,1
2.998,0.04,0.241,0.635,1
2.998,0.041,0.258,1.05,1
6.58,0.313,0.211,2.969,1
6.58,0.313,0.211,2.854,1
6.58,0.419,0.153,2.523,1
6.58,0.419,0.153,1.667,1
6.58,0.419,0.153,1.213,1
6.58,0.209,0.153,2.523,1
6.58,0.419,0.153,2.523,1
6.58,0.419,0.153,2.425,1
4,0.12,0.185,1.081,1
4,0.06,0.185,0.541,1
6,0.187,0.245,0.167,1
5.333,0.041,0.341,1.023,1
5.333,0.039,0.327,1,1
5.333,0.042,0.352,1.039,1
5.333,0.039,0.329,1.004,1
6.264,0.195,0.269,0.288,1
4.563,0,0.147,0.937,1
4.563,0,0.147,0.937,1
4.563,0,0.151,0.949,1
4,0.114,0.196,0.935,1
4,0.114,0.297,0.935,1
4,0.114,0.196,1.546,1
4,0.114,0.297,1.546,1
4,0.098,0.168,0.865,1
4,0.098,0.254,0.865,1
4,0.098,0.168,1.431,1
4,0.098,0.254,1.431,1
4,0.195,0.254,1.431,1
4,0.114,0.344,0.935,1
5.083,0.057,0.207,0.15,1
4.75,0.057,0.207,0.15,1
2.667,0.283,0.215,0.16,1
5,0.029,0.082,0.166,1
4,0.1,0.159,1.217,1
4,0.1,0.318,1.217,1
4,0.1,0.159,0.837,1
4,0.1,0.318,0.837,1
4,0.1,0.159,0.478,1
4,0.1,0.318,0.478,1
4,0.2,0.159,1.488,1
4,0.2,0.318,1.488,1
4,0.2,0.159,1.217,1
4,0.2,0.318,1.217,1
4,0.2,0.159,0.837,1
4,0.2,0.318,0.837,1
4,0.2,0.159,0.478,1
4,0.2,0.318,0.478,1
3.5,0.089,0.189,0.247,1
3.5,0.089,0.189,0.544,1
4,0.065,0.14,0.262,1
4,0.065,0.14,0.262,1
5.714,0.073,0.306,0.943,1
5.714,0.073,0.153,0.472,1
7.333,0.05,0.444,0.636,1
3.5,0.09,0.202,0.556,1
3.5,0.09,0.202,0.247,1
3.5,0.09,0.202,0.298,1
3.111,0.1,0.585,0.346,1
3.111,0.1,0.585,0.811,1
3.5,0.12,0.269,0.769,1
4,0.081,0.176,0.192,1
4,0.162,0.176,0.192,1
4,0.243,0.176,0.192,1
3.5,0.074,0.089,1.436,1
3.5,0.14,0.089,1.436,1
3.5,0.206,0.089,1.436,1
3.5,0.075,0.089,0.644,1
3.5,0.141,0.089,0.644,1
3.5,0.207,0.089,0.644,1
3.5,0.073,0.089,0.322,1
3.5,0.142,0.089,0.322,1
3.5,0.211,0.089,0.322,1
4.25,0.107,0.088,3.138,1
4.25,0.151,0.088,3.138,1
4.25,0.204,0.088,3.138,1
4.25,0.105,0.088,1.783,1
4.25,0.152,0.088,1.783,1
4.25,0.203,0.088,1.783,1
4.25,0.103,0.088,1.189,1
4.25,0.153,0.088,1.189,1
4.25,0.201,0.088,1.189,1
4.25,0.096,0.161,1.391,1
4.25,0.199,0.161,1.391,1
4.25,0.303,0.161,1.391,1
4.25,0.099,0.161,1.043,1
4.25,0.209,0.161,1.043,1
4.25,0.299,0.161,1.043,1
4.25,0.101,0.161,0.835,1
4.25,0.2,0.161,0.835,1
4.25,0.303,0.161,0.835,1
4.25,0.203,0.396,1.391,1
4.25,0.204,0.396,1.043,1
4.25,0.204,0.396,0.835,1
4.25,0.1,0.161,1.043,1
4.25,0.205,0.161,1.043,1
4.25,0.303,0.161,1.043,1
4.25,0.11,0.161,1.043,1
4.25,0.212,0.161,1.043,1
4.25,0.305,0.161,1.043,1
4.25,0.098,0.161,1.043,1
4.25,0.198,0.161,1.043,1
4.25,0.301,0.161,1.043,1
4.25,0.099,0.161,1.043,1
4.25,0.202,0.161,1.043,1
4.25,0.301,0.161,1.043,1
4.25,0.21,0.161,1.043,1
4.25,0.201,0.161,1.043,1
4.25,0.202,0.161,1.043,1
4.25,0.202,0.161,1.043,1
3.5,0.1,0.145,0.411,1
3.5,0.2,0.145,0.411,1
3.5,0.3,0.145,0.411,1
3.764,0.084,0.209,0.296,1
3.764,0.084,0.209,0.296,1
3.764,0.09,0.223,0.85,1
3.764,0.09,0.223,0.85,1
3.764,0.091,0.192,0.068,1
3.764,0.149,0.192,0.068,1
3.764,0.149,0.192,0.068,1
3.764,0.091,0.192,0.034,1
3.764,0.149,0.192,0.034,1
3.764,0.149,0.192,0.034,1
2.578,0,0.152,0.471,1
3.243,0.387,0.125,1.039,1
4.5,0.07,0.389,1.514,1
4.5,0.07,0.389,1.136,1
4.5,0.07,0.307,1.136,1
4.5,0,0.389,1.136,1
4.5,0.15,0.389,1.136,1
4.5,0.07,0.609,2.272,1
4.5,0.07,0.609,1.731,1
4.5,0.07,0.609,3.029,1
4.143,0.643,0.369,1.388,1
4.143,0.322,0.369,1.388,1
4,0.054,0.154,1.122,1
4,0.062,0.175,1.461,1
4,0.057,0.16,0.499,1
4,0.052,0.147,0.695,1
4,0.056,0.159,1.324,1
